,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle,real_m2,real_m2_trend,real_m2_cycle,t_bill_3mo,t_bill_3mo_trend,t_bill_3mo_cycle,pce_inflation,pce_inflation_trend,pce_inflation_cycle,unemployment,unemployment_trend,unemployment_cycle
1966-01-01,34.55998377146057,33.67554461442993,0.02592457953119842,20.418748640097558,19.992861360917445,0.021078251882078902,6.262833635165287,5.695081533364311,0.09502982661407366,112.912328609665,111.0534719266116,0.016599850184103815,49.40041938140598,49.61247964834254,-0.004283494236818619,14.509612200297507,14.270256987622382,0.016633899893864434,2.017831142092783e-05,1.9804665093702692e-05,0.018690814811979095,0.0461,0.043017242303095976,0.003082757696904026,0.09407485496065959,0.07396023844344757,0.020114616517212025,0.03866666666666667,0.04274386452987185,-0.004077197863205179
1966-04-01,34.58046348746466,33.95777619491671,0.018171007276110984,20.41322200666208,20.146764843599264,0.01313910664615392,6.164531946610749,5.749003563353224,0.06978566620298055,113.70285757913261,111.27186542988333,0.02161208813854021,49.54070258808872,49.55351126674491,-0.0002585151691358867,14.43818296935482,14.377473797019592,0.004213630294812809,2.0198903988797113e-05,1.993888259833238e-05,0.01295662018928212,0.04586666666666667,0.04415057186439794,0.001716094802268725,0.08828055935984169,0.07474836792836878,0.013532191431472912,0.03833333333333334,0.04190576671060539,-0.0035724333772720537
1966-07-01,34.77369890457325,34.22923082929911,0.01578134080222071,20.54637463879747,20.296436125840934,0.01223919844364918,6.075102717225727,5.798149888999148,0.04666001525834784,113.91081272939046,111.4580386805135,0.02176761235973146,49.64986285169998,49.50784335482444,0.0028645195501226794,14.490462169822276,14.481338791735073,0.0006298109255191697,2.0065932104863764e-05,2.0064273035500374e-05,8.268432012847882e-05,0.05043333333333333,0.0452679054400044,0.005165427893328932,0.08633166144763171,0.07544855333919898,0.010883108108432737,0.03766666666666667,0.04116591866330413,-0.003499251996637462
1966-10-01,34.95517320210047,34.48864255272895,0.013436406485359154,20.55693155593213,20.441443423299358,0.005633805640100409,6.118294192732484,5.8425961911057485,0.046108079667898094,113.27141075641495,111.60917873264744,0.014783510672377709,49.72689758567234,49.473418149370666,0.005110467362880566,14.61154580833758,14.58179107970998,0.002038460971082401,2.0039855191855373e-05,2.0180941834788016e-05,-0.007015635295291034,0.0521,0.046363068006737375,0.005736931993262626,0.06595959420188979,0.0760889458702118,-0.010129351668322004,0.037000000000000005,0.040535251792685696,-0.003535251792685691
1967-01-01,35.14796422326706,34.73507062935978,0.011816842224865898,20.58144240017142,20.581506269091552,-3.1032237579609045e-06,5.946096069143648,5.882607689149893,0.010734733232123483,112.76529846501471,111.72400969127362,0.00927702303804434,49.79618321015756,49.44828070413159,0.00701104963226129,14.727783201129341,14.678778536435184,0.0033329098787304723,2.0212948851047442e-05,2.0289013580236492e-05,-0.0037561053367198838,0.04513333333333333,0.04743311293385224,-0.0022997796005189072,0.051434053125053225,0.07670449865824858,-0.02527044553319535,0.03833333333333334,0.040022510470969816,-0.0016891771376364786
1967-04-01,35.03761538105913,34.96786396605849,0.001992742246269774,20.777763234973225,20.71641606677916,0.0029569069167982853,5.674432735188722,5.918641130409237,-0.042136283951409226,111.65528171818828,111.8023187296023,-0.001316017287758875,49.79928250007435,49.430643917304046,0.007430022211571963,14.775929791053807,14.772271048495515,0.0002476457092503992,2.0515367923650408e-05,2.0388540728533776e-05,0.006201246077871758,0.0366,0.04847867917310015,-0.011878679173100148,0.05949001344728089,0.07732383399535804,-0.017833820548077153,0.03833333333333334,0.039634229538005786,-0.0013008962046724484
1967-07-01,35.196270167710914,35.18663777610345,0.0002737139441664205,20.775136305761357,20.845965498670697,-0.0034035264907630314,5.810295318607807,5.951215465855552,-0.02396407973438608,111.47459003932727,111.84457697517387,-0.003313529056324427,49.675968236904055,49.41894378190565,0.005187451628581918,14.871370150017142,14.862273145689946,0.000611899760857959,2.0770376936193137e-05,2.0479542447230565e-05,0.014101327352950221,0.043,0.04949896831398197,-0.006498968313981973,0.05456636608980969,0.07795978014513065,-0.023393414055320957,0.03799999999999999,0.039375888097931876,-0.0013758880979318835
1967-10-01,35.30073933719955,35.39106583709957,-0.0025555026876014075,20.755347631276052,20.969987717164017,-0.010288328536670832,5.913353125236716,5.9807119627026015,-0.0113265829801239,111.47295857304402,111.85119961047704,-0.0033873755726281374,49.60927313330504,49.41184978315837,0.0039875050074380525,14.922668463216356,14.94879606049667,-0.0017493353178239524,2.0881541990331547e-05,2.0562131068245027e-05,0.015414524004532026,0.04753333333333333,0.05048575777151539,-0.002952424438182062,0.057521527976166276,0.07861401923331435,-0.02109249125714807,0.039,0.039252152194758444,-0.000252152194758444
1968-01-01,35.88028561507033,35.5808444078929,0.008380582833292571,21.15984672587729,21.088274013383483,0.00338821134348688,6.0085936303772,6.007435848920499,0.000192706161761258,111.23604233963084,111.82240469756567,-0.005257489383334146,49.602238048507054,49.40819392783065,0.003919675235060094,15.18940412430365,15.031861119545491,0.010426064600439044,2.0924547493192995e-05,2.0636615048014885e-05,0.013856063413475894,0.050499999999999996,0.05142676310552184,-0.0009267631055218453,0.0849252605109676,0.07927361250187248,0.005651648009095123,0.03733333333333333,0.03926682794243461,-0.0019334946091012772
1968-04-01,36.358070601235184,35.75562990941974,0.016708467403822258,21.402660951071308,21.200481702478843,0.009491354570927868,6.184939182541038,6.031660120169394,0.025094889746488658,111.92267928035537,111.75820724658257,0.0014705955968601359,49.64411473982493,49.40693260669313,0.004789098001666048,15.325696810275272,15.111477488716208,0.014076395965600508,2.097666804243317e-05,2.07035181714181e-05,0.013107128654640476,0.0552,0.05230785461054887,0.00289214538945113,0.09247246046343482,0.07991243838573261,0.01256002207770221,0.035666666666666666,0.03942356385978773,-0.003756897193121063
