,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend,real_m2,real_m2_trend,t_bill_3mo,t_bill_3mo_trend,pce_inflation,pce_inflation_trend,unemployment,unemployment_trend
1961-07-01,28.34041700419269,28.719788940751616,17.090799546702435,17.37768213584272,4.5389978803837945,4.587143403654584,105.85724415491885,107.6282592299743,54.04938515970833,54.2550914142759,12.023501892245099,12.03773693059847,1.635364569535274e-05,1.6578238014976864e-05,0.023033333333333333,0.02845743552186063,0.030729301530142195,0.05238327886780557,0.06766666666666667,0.05810031077078995
1961-10-01,28.850034533819407,28.935930998958145,17.37092950676447,17.488723975829398,4.617649237808333,4.629256145666548,107.03881954579366,107.60403232886215,53.69118824810305,53.81720880556116,12.18002877399373,12.164559308052654,1.6563002793500315e-05,1.6755486031285952e-05,0.024599999999999997,0.02865907332427114,0.04661042320312325,0.052944207451457906,0.062,0.05777274071328303
1962-01-01,29.31812570306354,29.161077057338996,17.512606623444963,17.604644114002056,4.840543658475915,4.675067366482619,107.26155572634288,107.61041167372116,53.36263932726781,53.3964792967668,12.38752008956883,12.292458101062435,1.6792567898411288e-05,1.6936907134032796e-05,0.02723333333333333,0.028952904290958346,0.060689943800071866,0.05370746651342661,0.056333333333333326,0.05734977436394788
1962-04-01,29.475814619816767,29.395040641179914,17.697193355769503,17.725527094606477,4.7479173181426,4.7243828904450025,108.14057806636998,107.64803093820582,52.987394133938004,52.99405419975943,12.418886497914762,12.421112343628062,1.7057728995443343e-05,1.7122022893023783e-05,0.02716666666666667,0.029338628254109107,0.06187270772267328,0.05464108463827468,0.05533333333333334,0.056836994442845123
1962-07-01,29.70184068338555,29.63773095670935,17.76827746832227,17.85140302746414,4.787197745717554,4.777108260008047,107.42191985643758,107.71733291706468,52.55370999150567,52.611035875983326,12.604675637885881,12.550247850700496,1.72074463931066e-05,1.731023973062124e-05,0.028399999999999998,0.029814870314061777,0.06426802051809366,0.055717454458869296,0.05566666666666667,0.05623934839439128
1962-10-01,29.63243263266465,29.889107161091015,17.9367493915413,17.982286481807158,4.596153495555786,4.833162932727938,106.14513057925647,107.81909682551161,52.088534252320585,52.24849978598762,12.712834497710682,12.679577706708423,1.741803179018751e-05,1.750089517396566e-05,0.02813333333333334,0.030378898095162553,0.06014136438658668,0.05691348837250535,0.05533333333333334,0.0555608438748094
1963-01-01,29.80899995195438,30.149169020798055,17.94676602616386,18.118141012929016,4.78005989687549,4.892471391357869,106.26469568162094,107.95394822123737,51.62747824784134,51.907468222740164,12.819058209626794,12.808838201442637,1.7642301270856252e-05,1.7693230268417064e-05,0.029066666666666668,0.03102709492781137,0.05484721916904811,0.05821144288026478,0.057666666666666665,0.054805130614242754
1963-04-01,30.01373788403224,30.417753251497953,18.035017902142894,18.258901330597748,4.844599867744568,4.954800362402114,106.47776586431034,108.1214880712732,51.25597340049877,51.588852786958206,12.922933079178168,12.937776760220583,1.791683794340818e-05,1.7886398649952392e-05,0.0294,0.03175444066443199,0.049811628539247144,0.05959559190573829,0.05733333333333334,0.05397571614874617
1963-07-01,30.54710479764223,30.69447350786879,18.267950211938555,18.404391740671496,4.958683341129639,5.01983249219899,106.32791256453712,108.32027636858595,50.92253820971182,51.293387305606196,13.194735451340382,13.066138168733232,1.8181333309874825e-05,1.8079484161672147e-05,0.03293333333333333,0.032554689889784966,0.05780700622781909,0.0610481067326971,0.055,0.05307789647440725
1963-10-01,30.619061204238786,30.97867032420474,18.263098647963773,18.554288499431554,5.018865016899387,5.087162085443109,106.7070425451635,108.54785015125029,50.62179814171091,51.0216034032843,13.222637822992326,13.193648945538271,1.8307626917012568e-05,1.8271551282532934e-05,0.03496666666666667,0.033420125663215595,0.052428646207145935,0.06254504366780836,0.05566666666666666,0.05211906609805397
1964-01-01,31.132363687895012,31.269564898335517,18.57195048053479,18.708170528153904,5.13467271313351,5.156321285276726,108.30440964686308,108.80048636566005,50.3458646447359,50.77381496502187,13.340578346457342,13.320108126044673,1.8476777877398068e-05,1.846169164946713e-05,0.0353,0.03434326769622141,0.06759056649647466,0.06406043332992369,0.05466666666666666,0.051107820841217885
1964-04-01,31.345984068768498,31.56611741911802,18.82290608370092,18.865416094360675,5.104505944403582,5.226771334306141,108.33958465324936,109.07327899603187,50.117776240129295,50.55010734645844,13.450641804502963,13.445327443206242,1.867498419732999e-05,1.8648985660622218e-05,0.03476666666666667,0.035317602288427105,0.07696088665029999,0.06556198358948184,0.05199999999999999,0.050054973775785896
1964-07-01,31.698189051634373,31.867159242081055,19.074034662117292,19.02529512111956,5.1590156092351815,5.2979287816168465,108.56805522931361,109.36097215787909,49.8732629888747,50.35032589466125,13.606432566791637,13.569126758296393,1.8938666861093063e-05,1.8832491201511417e-05,0.03496666666666667,0.03633721369714725,0.08050981592863415,0.06701960865015072,0.05,0.048973562252285864
1964-10-01,31.657380912759873,32.171334549325046,19.021468017499195,19.18702497741642,5.2201249168211135,5.369098110703091,109.14700853950553,109.65779834951621,49.64534468031666,50.17407796894113,13.563747189452691,13.69132506844834,1.9155227740996328e-05,1.9011252576510787e-05,0.036833333333333336,0.03739584184493283,0.07419067860704698,0.0684103470300112,0.04966666666666666,0.04787783926263577
1965-01-01,32.28731152424151,32.47712625514644,19.329069675522568,19.3498266272584,5.692056137450467,5.439456209530865,110.38449982911477,109.9574298593663,49.45019124083972,50.02070803192512,13.751583678735166,13.811761132942319,1.935856258281123e-05,1.9184354054302015e-05,0.038900000000000004,0.038486370062440795,0.07540398567499462,0.06971966862669324,0.048999999999999995,0.046782699322345966
1965-04-01,32.56308109566769,32.78262880756587,19.472177629927693,19.512788423390923,5.665921080055454,5.50804176386218,111.02713018144516,110.2531484129746,49.384866627735704,49.88926696514087,13.823199983086914,13.930189284320154,1.951192690048376e-05,1.9350948569276403e-05,0.038733333333333335,0.03960133011250834,0.07141945742216627,0.07093665604506248,0.04666666666666666,0.045704154964054305
1965-07-01,33.17835881623984,33.08574432840138,19.739211359740708,19.674954802843686,5.810882991669638,5.574007574471371,110.92688557552756,110.53843161202211,49.350947308325324,49.778486099504015,14.096049901531346,14.046320073148602,1.9750841656576294e-05,1.9510282457254785e-05,0.03866666666666667,0.04073351227668364,0.07055823179370924,0.07205394458813971,0.04366666666666667,0.04465960453332217
1965-10-01,33.82856692634292,33.384160029413934,20.149082076666,19.835313383771638,5.862016517997788,5.636573062458773,111.60594636545251,110.80717668506259,49.35313165041313,49.68681758071241,14.315171878933675,14.159789476342485,1.997803793179909e-05,1.9661693238473025e-05,0.04166666666666667,0.04187516433852788,0.09725600078284045,0.07306447130980642,0.04100000000000001,0.043667047945525075
1966-01-01,34.55998377146057,33.67554461442993,20.418748640097558,19.992861360917445,6.262833635165287,5.695081533364311,112.912328609665,111.0534719266116,49.40041938140598,49.61247964834254,14.509612200297507,14.270256987622382,2.017831142092783e-05,1.9804665093702692e-05,0.0461,0.043017242303095976,0.09407485496065959,0.07396023844344757,0.03866666666666667,0.04274386452987185
1966-04-01,34.58046348746466,33.95777619491671,20.41322200666208,20.146764843599264,6.164531946610749,5.749003563353224,113.70285757913261,111.27186542988333,49.54070258808872,49.55351126674491,14.43818296935482,14.377473797019592,2.0198903988797113e-05,1.993888259833238e-05,0.04586666666666667,0.04415057186439794,0.08828055935984169,0.07474836792836878,0.03833333333333334,0.04190576671060539
1966-07-01,34.77369890457325,34.22923082929911,20.54637463879747,20.296436125840934,6.075102717225727,5.798149888999148,113.91081272939046,111.4580386805135,49.64986285169998,49.50784335482444,14.490462169822276,14.481338791735073,2.0065932104863764e-05,2.0064273035500374e-05,0.05043333333333333,0.0452679054400044,0.08633166144763171,0.07544855333919898,0.03766666666666667,0.04116591866330413
1966-10-01,34.95517320210047,34.48864255272895,20.55693155593213,20.441443423299358,6.118294192732484,5.8425961911057485,113.27141075641495,111.60917873264744,49.72689758567234,49.473418149370666,14.61154580833758,14.58179107970998,2.0039855191855373e-05,2.0180941834788016e-05,0.0521,0.046363068006737375,0.06595959420188979,0.0760889458702118,0.037000000000000005,0.040535251792685696
1967-01-01,35.14796422326706,34.73507062935978,20.58144240017142,20.581506269091552,5.946096069143648,5.882607689149893,112.76529846501471,111.72400969127362,49.79618321015756,49.44828070413159,14.727783201129341,14.678778536435184,2.0212948851047442e-05,2.0289013580236492e-05,0.04513333333333333,0.04743311293385224,0.051434053125053225,0.07670449865824858,0.03833333333333334,0.040022510470969816
1967-04-01,35.03761538105913,34.96786396605849,20.777763234973225,20.71641606677916,5.674432735188722,5.918641130409237,111.65528171818828,111.8023187296023,49.79928250007435,49.430643917304046,14.775929791053807,14.772271048495515,2.0515367923650408e-05,2.0388540728533776e-05,0.0366,0.04847867917310015,0.05949001344728089,0.07732383399535804,0.03833333333333334,0.039634229538005786
1967-07-01,35.196270167710914,35.18663777610345,20.775136305761357,20.845965498670697,5.810295318607807,5.951215465855552,111.47459003932727,111.84457697517387,49.675968236904055,49.41894378190565,14.871370150017142,14.862273145689946,2.0770376936193137e-05,2.0479542447230565e-05,0.043,0.04949896831398197,0.05456636608980969,0.07795978014513065,0.03799999999999999,0.039375888097931876
1967-10-01,35.30073933719955,35.39106583709957,20.755347631276052,20.969987717164017,5.913353125236716,5.9807119627026015,111.47295857304402,111.85119961047704,49.60927313330504,49.41184978315837,14.922668463216356,14.94879606049667,2.0881541990331547e-05,2.0562131068245027e-05,0.04753333333333333,0.05048575777151539,0.057521527976166276,0.07861401923331435,0.039,0.039252152194758444
1968-01-01,35.88028561507033,35.5808444078929,21.15984672587729,21.088274013383483,6.0085936303772,6.007435848920499,111.23604233963084,111.82240469756567,49.602238048507054,49.40819392783065,15.18940412430365,15.031861119545491,2.0924547493192995e-05,2.0636615048014885e-05,0.050499999999999996,0.05142676310552184,0.0849252605109676,0.07927361250187248,0.03733333333333333,0.03926682794243461
1968-04-01,36.358070601235184,35.75562990941974,21.402660951071308,21.200481702478843,6.184939182541038,6.031660120169394,111.92267928035537,111.75820724658257,49.64411473982493,49.40693260669313,15.325696810275272,15.111477488716208,2.097666804243317e-05,2.07035181714181e-05,0.0552,0.05230785461054887,0.09247246046343482,0.07991243838573261,0.035666666666666666,0.03942356385978773
1968-07-01,36.48988998921317,35.91528383313601,21.726111009358537,21.306313277062273,5.974659420177923,6.0536668904663475,112.24908504550291,111.65828900754012,49.6945490952666,49.407143825599356,15.346719245371764,15.187757204952556,2.1089486371034567e-05,2.076356078518275e-05,0.05196666666666666,0.05311432335420308,0.10848473812307002,0.08050790759982808,0.035333333333333335,0.03972480003151453
1968-10-01,36.45960652384967,36.06006512245311,21.655770152023706,21.405599973584305,6.054818905172436,6.073840778168618,112.40881940475411,111.5224695968527,49.65740628228455,49.40805366573892,15.323825559478369,15.260952278865627,2.1177051773336785e-05,2.081765034384644e-05,0.05586666666666667,0.05383326799495947,0.1094608962101229,0.08104528087289067,0.034,0.040170628481565995
1969-01-01,36.865628825455175,36.190618106141095,21.785465001994602,21.4984399069552,6.397820701295298,6.092523754170803,112.95013198768524,111.35097168450714,49.65510836756629,49.409067329441875,15.446417562096164,15.331422364185567,2.1223637366758343e-05,2.0866913203945087e-05,0.06093333333333334,0.05445106990586332,0.09455208587778774,0.08152730445272924,0.034,0.040758396567206735
1969-04-01,36.826734305492124,36.3078666184868,21.837820582491172,21.58509722562452,6.303889294542135,6.110051529546377,113.53400277202859,111.14460158265764,49.75841471458695,49.4097454390613,15.367313043953624,15.399575783308762,2.105542310443639e-05,2.0912714491130667e-05,0.06196666666666666,0.054955381334129694,0.08785776362056241,0.08197448434673837,0.034333333333333334,0.04148159500290038
1969-07-01,36.91216287279523,36.41318451712544,21.812292991756806,21.666026846380838,6.363642027761393,6.126951870266118,113.59357870487324,110.90518239641877,49.824825087023015,49.40980199368729,15.390523617719579,15.465902227068018,2.080668626476842e-05,2.095665588948846e-05,0.07023333333333333,0.05533790594161586,0.07507922320630533,0.08241546705070335,0.035666666666666666,0.04232949050525606
1969-10-01,36.555636634299695,36.50829965003519,21.852316017224453,21.741854662086226,6.041495322200713,6.143878753768476,112.70364734759626,110.63602442582278,49.87660141225485,49.4091681590076,15.314423631250067,15.530880786416141,2.0619201608081284e-05,2.1000442882626337e-05,0.07353333333333334,0.0555947294435119,0.07932317292691704,0.08288257610995557,0.035666666666666666,0.04328688212733943
1970-01-01,36.31198207924098,36.59527994665285,21.820523591823946,21.81331189940366,5.8071882070847,6.161639455348713,111.67117783455107,110.34208529362252,49.82897289278186,49.40803342754329,15.308740084941363,15.594951832424549,2.0302285261960195e-05,2.104570097997901e-05,0.0721,0.055731247197127735,0.07611519493019636,0.08340354991742367,0.04166666666666667,0.044334404657317014
1970-04-01,36.1701150921456,36.67624998314919,21.740869647188525,21.881212370449724,5.8100921261260785,6.180985867729653,109.61286402183579,110.02956443281784,49.71714875506603,49.406878052400835,15.446589626034143,15.658426150660768,2.005092596324867e-05,2.1093828357498327e-05,0.06676666666666667,0.05576406618720441,0.07225526751646649,0.08400390223904691,0.04766666666666666,0.045447930248692425
1970-07-01,36.29703819210989,36.753178903463,21.83993789642768,21.94638712407867,5.8120232231956805,6.202450470059341,108.44075287490813,109.70542582377747,49.59205379640931,49.406444210525585,15.623261397651895,15.721437865542109,2.0221855266401383e-05,2.1145761462993684e-05,0.06326666666666667,0.05572002386898478,0.07370043343531174,0.08470459161889754,0.051666666666666666,0.046601663718725116
1970-10-01,35.698269909672085,36.82773470857624,21.648385426011046,22.00959024142487,5.468294648319192,6.2263339664625015,106.98172263357793,109.37629921827849,49.46403235957102,49.407667389416055,15.515454098208458,15.783989074075683,2.0375125882971274e-05,2.1201775615230403e-05,0.05353333333333334,0.05563283432301135,0.06377037187432522,0.08551923370434616,0.05833333333333333,0.04777119659493578
1971-01-01,36.463813175051925,36.901311842624594,21.817011419673427,22.071518380492527,6.087013835637096,6.252689887267921,106.88743910396983,109.04794727055615,49.26728784931953,49.41159909147785,15.879400452651193,15.846020020276208,2.059895549926321e-05,2.1261557343114374e-05,0.0384,0.055540928281575155,0.07519728978842322,0.08645456654389859,0.059333333333333335,0.048935286031687536
1971-04-01,36.45262220331931,36.97459636357932,21.85462493385723,22.132647645399523,6.220997920694022,6.281065472249204,106.62772902845876,108.72455982399508,49.224916603142276,49.419326722654276,15.90443732702167,15.907299568702248,2.099737991769874e-05,2.1324261377312648e-05,0.0425,0.05548142428884861,0.08051342799694507,0.08750373514741683,0.05900000000000001,0.05007929051880494
1971-07-01,36.55047999674933,37.0480036844599,21.899065646486793,22.19329878559088,6.271099316180761,6.310895601996799,106.03974563857479,108.4089214072934,49.22519241174656,49.4318487369112,16.004522856999316,15.96761422950774,2.1286650290137042e-05,2.1388610383430976e-05,0.050100000000000006,0.055480727808828144,0.07975277054302965,0.08865284872679062,0.06033333333333334,0.051195067325676094
1971-10-01,36.42983852631038,37.121622664721926,22.089306474048684,22.253620365837993,6.072501814121827,6.341567215554162,106.57287275570147,108.10246922276944,49.23117181973161,49.45004399865024,15.89910702697396,16.026745791831555,2.155965493140276e-05,2.1453104883940386e-05,0.0423,0.05555713091532963,0.0932772460051412,0.08988364755194074,0.059333333333333335,0.05228004916511483
1972-01-01,36.68401567785023,37.19522856468962,22.027776505060565,22.313576502458623,6.3485001742067615,6.372430379015191,106.56353429246899,107.80513673110579,48.9123852672912,49.47466488548598,16.04739562839893,16.084496451978776,2.1630871037324385e-05,2.1516163072822852e-05,0.03436666666666667,0.055725562727288465,0.08799062407057857,0.09117230934392306,0.057666666666666665,0.05333738016618976
1972-04-01,37.31991351205991,37.268156690473944,22.319528492207045,22.37302734875617,6.683740477466017,6.4026489801347575,106.77461136397812,107.51590201223226,48.96767143981498,49.5063303279327,16.298138538522387,16.140585437849474,2.1919797207820277e-05,2.1576251601710045e-05,0.0377,0.05599266665681796,0.09252262973781968,0.09249713282282675,0.057,0.05437461276057466
1972-07-01,37.473150793469145,37.3394142017121,22.52626592706035,22.431650908278076,6.768051163946457,6.431356106428399,106.81109136468736,107.23297898404392,49.10233059297153,49.54530971625201,16.345707716961556,16.194705390314752,2.232400933779871e-05,2.1631893000704856e-05,0.042199999999999994,0.05635173680599355,0.09948993691884468,0.09383442815544511,0.05566666666666666,0.0554020051840061
1972-10-01,37.91864599391338,37.40803332279615,22.84134290770413,22.489088290078417,6.8399735604911625,6.457843753340109,107.41445529855615,106.95413862187753,49.27944050184962,49.59153732314446,16.458828191314137,16.246644381890565,2.2666278694848032e-05,2.1681811183710472e-05,0.048633333333333334,0.056784634360230166,0.10912947755351986,0.09516052144414333,0.05366666666666666,0.0564314565392453
1973-01-01,38.65790775312197,37.4731234347968,23.15301345322281,22.545036474732495,7.137045273954587,6.4816012655901165,108.47183669320329,106.67691250720078,49.450816269935615,49.644671651912915,16.65296123766779,16.296283401799265,2.2822597029208107e-05,2.1725150227168683e-05,0.057,0.05726437566943902,0.11646151014685735,0.09645527348426375,0.04933333333333333,0.057475031342480165
