,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1973-04-01,38.877864603223344,37.534478522233535,23.112097997473285,22.59951824119479,7.37462596029675,6.502248658260981,109.04932174133836,106.39943341062069,60.099172263239176,60.14896381808559,15.588825155937238,15.288323486693363
1973-07-01,38.473936434689826,37.59140047664546,23.046103606695517,22.652570774528634,7.0928570643711035,6.520088356852089,109.2219844867796,106.11995983909912,60.46435306378156,60.284436552927424,15.37836529648547,15.325634646874791
1973-10-01,38.643995339150244,37.64536280005874,22.875253527557263,22.704955065934836,7.3518635192452555,6.535665234331981,109.21114814746072,105.83954909361334,60.75664416039939,60.424144094278574,15.421284553116168,15.361601904125436
1974-01-01,38.115040955018664,37.69789911461306,22.795989929292663,22.757533209902743,6.859260174616544,6.549964435278914,108.18624282685188,105.56070380680777,61.10246728686551,60.56763678701994,15.273335390968963,15.39665335695528
1974-04-01,38.01201553099203,37.751169742471866,22.866545642163913,22.811281873824885,6.891375871312821,6.5644639381461705,107.92229487496085,105.28796388167231,61.319199964006046,60.71466945918472,15.237360861676741,15.431258717492868
1974-07-01,37.46479331143855,37.80760735301779,22.797331028783578,22.867211175216294,6.508510774636379,6.58084489260677,107.00632136775354,105.02743549271104,61.54376698139116,60.86532940364793,15.082129549750542,15.465814319111248
1974-10-01,37.13285691723706,37.86982264991658,22.26280602503803,22.926376188619432,6.530635728942218,6.601006771158402,104.71272479578593,104.78678539750479,61.66768199835574,61.020083030194144,15.149853409350175,15.50059757755328
1975-01-01,36.50392463735037,37.9402294477497,22.252920900152727,22.989799871924546,5.51824733648607,6.6268312218797645,100.92993765377119,104.5748380231921,61.804032824987594,61.179825845006896,15.241950795760374,15.53564448489774
1975-04-01,36.591207595869804,38.02079670832221,22.452475721167023,23.0580949763563,5.389066445459011,6.660196039784816,99.52768701933253,104.40031843995645,61.69231375812035,61.345868256422065,15.427736546915563,15.570768620128154
1975-07-01,37.006923072373894,38.112597644272526,22.665165798742184,23.131412990398953,5.739750349983612,6.702270624102762,99.8649618221505,104.26961479024757,61.49198645080773,61.51992647448085,15.58647249888833,15.605595720374211
1975-10-01,37.32150822154729,38.215809176218684,22.798024068550436,23.209523924777535,5.851607869930395,6.75338860476662,101.0882277642168,104.18601989266503,61.43115159611516,61.70395550626085,15.600469249380865,15.639657985616102
1976-01-01,37.97805656865141,38.329914182252566,23.154325633744566,23.291900732000038,6.355200117859028,6.813264736133964,102.26180178669375,104.15006675299651,61.408486160142616,61.899919616561824,15.758284909644203,15.672471630703432
1976-04-01,38.08588637728438,38.45382884941527,23.224525678224964,23.377749435613154,6.626887316667794,6.881015483863209,101.84363408448162,104.1603872407372,61.528855796852525,62.10964109978273,15.834316853434254,15.7035244770549
1976-07-01,38.109877979497846,38.58623991272718,23.408745059473382,23.46617869368078,6.632046144255836,6.955440933953523,101.75820643605226,104.2144838400619,61.693797209564465,62.334663293013094,15.838088989299845,15.73235454753073
1976-10-01,38.216991350544504,38.72558838890869,23.55936634710823,23.55618745372233,6.671223312071952,7.035136993792142,101.85593029617567,104.30844478279458,61.88016438885603,62.57619306104387,15.855949724618547,15.758579078792225
1977-01-01,38.499281961517816,38.86999423301898,23.77760171559759,23.64672322666393,6.975488764929927,7.11842947519574,102.48557192624004,104.43683601992129,62.07569381227219,62.835060131322116,15.891657132576665,15.781880093798176
1977-04-01,39.06481457831041,39.017228573640445,23.865173903157338,23.736719288907018,7.404839142010322,7.203326657353841,103.95452143986492,104.59267891811771,62.32268775813632,63.11167768438345,15.954429943728039,15.802000172335173
1977-07-01,39.57535679687239,39.164794589792095,24.04077113028066,23.825174903808772,7.736469056587435,7.287647884803037,104.55541193457918,104.76774335721615,62.65794301247864,63.40599556623036,16.072292976833083,15.818751011512115
1977-10-01,39.400699292920635,39.310187552769385,24.118157173577433,23.91115546486433,7.68798528404547,7.369237309519763,105.11244252049161,104.95335625335804,63.095350299326,63.71747252112655,15.907412995148622,15.832040636870069
1978-01-01,39.35722558753537,39.45112304887821,24.193180091557423,23.99384890851516,7.768654927561236,7.446125611423701,105.1512879522452,105.14065484873876,63.52037226856398,64.04509132963102,15.848760794772339,15.841936474926806
1978-04-01,40.70235925289856,39.58534245384036,24.63796803105474,24.072563228150027,8.214791533086906,7.516472741521612,107.7510934259808,105.32081366372255,63.95331876893716,64.38742705757902,16.093973856566194,15.848555402698729
1978-07-01,40.924205272361256,39.71050087121588,24.64312253436105,24.146724473931354,8.413078583873496,7.578591453529,108.15843937648131,105.48495444900111,64.47119916581262,64.74269746528643,16.096552079333186,15.852020855291627
1978-10-01,41.28068525676538,39.82492269258161,24.688157983006683,24.216105911879428,8.59554226776693,7.631193515613828,108.95992296758672,105.62565530823213,65.01970391194098,65.10880966352339,16.111190205938776,15.852610562592549
1979-01-01,41.17056954071543,39.92767327235156,24.721488098111912,24.280790279697424,8.567945191238076,7.67349537271952,109.24742764259787,105.7371221283546,65.61257280139418,65.48345349891508,15.989835389592566,15.850755619908423
